word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
вернуться	9	0.655988	hard	3.183814	1.000000	0.000000	2.742638	0.111111
бояться	7	0.655137	hard	3.427140	0.857143	0.142857	2.692541	0.142857
играть	6	0.654043	hard	3.165358	1.000000	0.000000	2.477218	0.166667
платье	6	0.652798	hard	3.098921	1.000000	0.000000	2.628432	0.166667
популярный	10	0.651947	hard	3.409998	0.900000	0.100000	2.756845	0.100000
старше	6	0.651699	hard	3.118510	1.000000	0.000000	2.581681	0.166667
выборы	6	0.651514	hard	3.388100	0.833333	0.166667	2.760728	0.166667
учитель	7	0.650279	hard	3.313295	1.000000	0.000000	2.261594	0.142857
небольшой	9	0.649868	hard	3.403830	0.888889	0.111111	2.760332	0.111111
учесть	6	0.649284	hard	3.387410	1.000000	0.000000	1.958637	0.166667
хороший	7	0.647354	hard	3.457066	0.857143	0.142857	2.612109	0.142857
знакомый	8	0.646932	hard	3.327279	1.000000	0.000000	2.322493	0.125000
загрузить	9	0.646153	hard	3.440951	0.888889	0.111111	2.669331	0.111111
удачно	6	0.644707	hard	3.176884	1.000000	0.000000	2.436881	0.166667
полезный	8	0.644609	hard	3.325157	1.000000	0.000000	2.323954	0.125000
получить	8	0.643820	hard	3.311342	1.000000	0.000000	2.354614	0.125000
картофель	9	0.638056	hard	3.223954	1.000000	0.000000	2.623693	0.111111
приехать	8	0.634984	hard	3.198933	1.000000	0.000000	2.600533	0.125000
средний	7	0.633127	hard	3.067350	1.000000	0.000000	2.802870	0.142857
отдыхать	8	0.633103	hard	3.317889	0.875000	0.125000	2.924004	0.125000
биография	9	0.632634	hard	3.385455	0.888889	0.111111	2.777223	0.111111
древний	7	0.631528	hard	3.097040	1.000000	0.000000	2.732111	0.142857
памятник	8	0.630033	hard	3.087104	1.000000	0.000000	2.850851	0.125000
прослушать	10	0.626123	hard	3.307022	1.000000	0.000000	2.475724	0.100000
суббота	7	0.624723	hard	3.196688	0.857143	0.142857	3.178548	0.142857
браузер	7	0.624082	hard	3.262276	0.857143	0.142857	3.026503	0.142857
больница	8	0.623853	hard	3.329116	1.000000	0.000000	2.284192	0.125000
версия	6	0.622615	hard	2.989467	1.000000	0.000000	2.836032	0.166667
герман	6	0.622328	hard	3.033371	1.000000	0.000000	2.734464	0.166667
исключить	9	0.618913	hard	3.428196	0.888889	0.111111	2.658503	0.111111
получать	8	0.618025	hard	3.304183	1.000000	0.000000	2.333028	0.125000
маркет	6	0.616101	hard	2.899711	1.000000	0.000000	3.033192	0.166667
принять	7	0.615670	hard	3.215958	1.000000	0.000000	2.434744	0.142857
уменьшить	9	0.614528	hard	3.448643	0.888889	0.111111	2.604925	0.111111
кривой	6	0.613697	hard	3.084549	1.000000	0.000000	2.603823	0.166667
прямая	6	0.613109	hard	3.377083	0.833333	0.166667	2.729416	0.166667
консультация	12	0.612675	hard	3.257444	1.000000	0.000000	2.661608	0.083333
обнаружить	10	0.612614	hard	3.241900	1.000000	0.000000	2.605807	0.100000
парень	6	0.612586	hard	3.046753	1.000000	0.000000	2.689255	0.166667
получиться	10	0.609629	hard	3.332448	1.000000	0.000000	2.392800	0.100000
героиня	7	0.609520	hard	2.997690	1.000000	0.000000	2.928500	0.142857
